GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US06484,06484,ZCTA5 06484,88369,4828
8600000US06488,06488,ZCTA5 06488,76896,5371
8600000US06489,06489,ZCTA5 06489,80980,3846
8600000US06492,06492,ZCTA5 06492,75468,3703
8600000US06498,06498,ZCTA5 06498,78000,21628
8600000US06510,06510,ZCTA5 06510,45500,9470
8600000US06511,06511,ZCTA5 06511,36600,2258
8600000US06512,06512,ZCTA5 06512,62208,4322
8600000US06513,06513,ZCTA5 06513,35397,3804
8600000US06514,06514,ZCTA5 06514,64574,4195
8600000US06515,06515,ZCTA5 06515,51623,4340
8600000US06516,06516,ZCTA5 06516,49993,2275
8600000US06517,06517,ZCTA5 06517,69446,9581
8600000US06518,06518,ZCTA5 06518,72681,7280
8600000US06519,06519,ZCTA5 06519,24533,4779
8600000US06524,06524,ZCTA5 06524,97500,6882
8600000US06525,06525,ZCTA5 06525,134045,17732
8600000US06604,06604,ZCTA5 06604,33270,2949
8600000US06605,06605,ZCTA5 06605,42443,3561
8600000US06606,06606,ZCTA5 06606,51823,2428
8600000US06607,06607,ZCTA5 06607,32924,2542
8600000US06608,06608,ZCTA5 06608,30461,3236
8600000US06610,06610,ZCTA5 06610,39222,2754
8600000US06611,06611,ZCTA5 06611,108554,4810
8600000US06612,06612,ZCTA5 06612,132000,18421
8600000US06614,06614,ZCTA5 06614,77687,3102
8600000US06615,06615,ZCTA5 06615,52677,3889
8600000US06702,06702,ZCTA5 06702,11413,1203
8600000US06704,06704,ZCTA5 06704,37402,2826
8600000US06705,06705,ZCTA5 06705,45309,2260
8600000US06706,06706,ZCTA5 06706,39682,4776
8600000US06708,06708,ZCTA5 06708,51175,2415
8600000US06710,06710,ZCTA5 06710,31663,5128
8600000US06712,06712,ZCTA5 06712,100592,5085
8600000US06716,06716,ZCTA5 06716,83317,6844
8600000US06750,06750,ZCTA5 06750,84583,25234
8600000US06751,06751,ZCTA5 06751,87857,12072
8600000US06752,06752,ZCTA5 06752,93750,5680
8600000US06754,06754,ZCTA5 06754,88194,7757
8600000US06755,06755,ZCTA5 06755,84722,22769
8600000US06756,06756,ZCTA5 06756,80741,12286
8600000US06757,06757,ZCTA5 06757,56696,13135
8600000US06758,06758,ZCTA5 06758,105625,12773
8600000US06759,06759,ZCTA5 06759,73571,11826
8600000US06762,06762,ZCTA5 06762,95436,7677
8600000US06763,06763,ZCTA5 06763,73438,21710
8600000US06770,06770,ZCTA5 06770,58603,4265
8600000US06776,06776,ZCTA5 06776,78593,3712
8600000US06777,06777,ZCTA5 06777,76797,8652
8600000US06778,06778,ZCTA5 06778,100571,15772
8600000US06779,06779,ZCTA5 06779,63860,9389
8600000US06782,06782,ZCTA5 06782,68793,11500
8600000US06783,06783,ZCTA5 06783,90078,12659
8600000US06784,06784,ZCTA5 06784,115173,15335
8600000US06785,06785,ZCTA5 06785,85208,21373
8600000US06786,06786,ZCTA5 06786,71958,5070
8600000US06787,06787,ZCTA5 06787,73679,5710
8600000US06790,06790,ZCTA5 06790,55382,2676
8600000US06791,06791,ZCTA5 06791,91599,8299
8600000US06793,06793,ZCTA5 06793,78148,21890
8600000US06794,06794,ZCTA5 06794,88698,29673
8600000US06795,06795,ZCTA5 06795,97366,5627
8600000US06796,06796,ZCTA5 06796,80000,23749
8600000US06798,06798,ZCTA5 06798,84868,10490
8600000US06801,06801,ZCTA5 06801,85668,7717
8600000US06804,06804,ZCTA5 06804,106496,10326
8600000US06807,06807,ZCTA5 06807,152750,31654
8600000US06810,06810,ZCTA5 06810,54332,1860
8600000US06811,06811,ZCTA5 06811,85811,4775
8600000US06812,06812,ZCTA5 06812,101750,7187
8600000US06820,06820,ZCTA5 06820,199444,18003
8600000US06824,06824,ZCTA5 06824,128951,5830
8600000US06825,06825,ZCTA5 06825,105045,8188
8600000US06830,06830,ZCTA5 06830,107395,8270
8600000US06831,06831,ZCTA5 06831,147500,14154
